split,label,source_relative_path,segment_index,processed_path,sample_rate,duration_sec
train,logging,logging/11_11104.wav,0,processed/forest_sound_16k_5s/train/logging/11_11104__seg00.wav,16000,5
train,natural sound,natural sound/if_necessary/18_11875.wav,0,processed/forest_sound_16k_5s/train/natural sound/18_11875__seg00.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_17.wav,0,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_1_17__seg00.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_17.wav,1,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_1_17__seg01.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_17.wav,2,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_1_17__seg02.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_17.wav,3,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_1_17__seg03.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_17.wav,4,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_1_17__seg04.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_17.wav,5,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_1_17__seg05.wav,16000,5
train,natural sound,natural sound/4_10408.wav,0,processed/forest_sound_16k_5s/train/natural sound/4_10408__seg00.wav,16000,5
train,natural sound,natural sound/6_10670.wav,0,processed/forest_sound_16k_5s/train/natural sound/6_10670__seg00.wav,16000,5
train,poaching,poaching/5BCE4D49_80526c347-1676-42d0-8f3b-3d45954f2f353ad47a9d-d87a-41e8-b101-a07f6540064f4ded739d-67d6-42e6-ba32-93a316c89020.WAV,0,processed/forest_sound_16k_5s/train/poaching/5BCE4D49_80526c347-1676-42d0-8f3b-3d45954f2f353ad47a9d-d87a-41e8-b101-a07f6540064f4ded739d-67d6-42e6-ba32-93a316c89020__seg00.wav,16000,5
train,natural sound,natural sound/if_necessary/19_11969.wav,0,processed/forest_sound_16k_5s/train/natural sound/19_11969__seg00.wav,16000,5
train,natural sound,natural sound/if_necessary/20_12001.wav,0,processed/forest_sound_16k_5s/train/natural sound/20_12001__seg00.wav,16000,5
train,natural sound,natural sound/5_10567.wav,0,processed/forest_sound_16k_5s/train/natural sound/5_10567__seg00.wav,16000,5
train,logging,logging/13_11318.wav,0,processed/forest_sound_16k_5s/train/logging/13_11318__seg00.wav,16000,5
train,natural sound,natural sound/26_12624.wav,0,processed/forest_sound_16k_5s/train/natural sound/26_12624__seg00.wav,16000,5
train,natural sound,natural sound/3_10307.wav,0,processed/forest_sound_16k_5s/train/natural sound/3_10307__seg00.wav,16000,5
train,fire,fire/videoplayback_63.wav,0,processed/forest_sound_16k_5s/train/fire/videoplayback_63__seg00.wav,16000,5
train,fire,fire/videoplayback_63.wav,1,processed/forest_sound_16k_5s/train/fire/videoplayback_63__seg01.wav,16000,5
train,fire,fire/videoplayback_63.wav,2,processed/forest_sound_16k_5s/train/fire/videoplayback_63__seg02.wav,16000,5
train,fire,fire/videoplayback_63.wav,3,processed/forest_sound_16k_5s/train/fire/videoplayback_63__seg03.wav,16000,5
train,fire,fire/videoplayback_63.wav,4,processed/forest_sound_16k_5s/train/fire/videoplayback_63__seg04.wav,16000,5
