label,source_path,relative_path,split
logging,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/logging/11_11104.wav,logging/11_11104.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/if_necessary/18_11875.wav,natural sound/if_necessary/18_11875.wav,train
fire,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_17.wav,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_17.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/4_10408.wav,natural sound/4_10408.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/6_10670.wav,natural sound/6_10670.wav,train
poaching,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/poaching/5BCE4D49_80526c347-1676-42d0-8f3b-3d45954f2f353ad47a9d-d87a-41e8-b101-a07f6540064f4ded739d-67d6-42e6-ba32-93a316c89020.WAV,poaching/5BCE4D49_80526c347-1676-42d0-8f3b-3d45954f2f353ad47a9d-d87a-41e8-b101-a07f6540064f4ded739d-67d6-42e6-ba32-93a316c89020.WAV,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/if_necessary/19_11969.wav,natural sound/if_necessary/19_11969.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/if_necessary/20_12001.wav,natural sound/if_necessary/20_12001.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/5_10567.wav,natural sound/5_10567.wav,train
logging,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/logging/13_11318.wav,logging/13_11318.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/26_12624.wav,natural sound/26_12624.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/3_10307.wav,natural sound/3_10307.wav,train
fire,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/fire/videoplayback_63.wav,fire/videoplayback_63.wav,train
fire,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_05.wav,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_05.wav,train
logging,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/logging/10_11052.wav,logging/10_11052.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/if_necessary/20_12036.wav,natural sound/if_necessary/20_12036.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/5_10533.wav,natural sound/5_10533.wav,train
fire,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_55.wav,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_55.wav,train
fire,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_45.wav,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_45.wav,train
logging,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/logging/11_11168.wav,logging/11_11168.wav,train
logging,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/logging/13_11335.wav,logging/13_11335.wav,train
logging,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/logging/11_11121.wav,logging/11_11121.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/5_10510.wav,natural sound/5_10510.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/26_12657.wav,natural sound/26_12657.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/24_12433.wav,natural sound/24_12433.wav,train
logging,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/logging/11_11118.wav,logging/11_11118.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/24_12440.wav,natural sound/24_12440.wav,train
logging,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/logging/11_11111.wav,logging/11_11111.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/5_10548.wav,natural sound/5_10548.wav,train
poaching,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/poaching/New folder/sig-p225_001_SA_150A_S06.wav,poaching/New folder/sig-p225_001_SA_150A_S06.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/25_12570.wav,natural sound/25_12570.wav,train
poaching,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/poaching/5C26AB1E_57d8edeb21-3140-4b6d-b078-28ec1f0ce70714f8e251-4818-4f03-bd03-c631fa3f9ec9f600966f-4a1f-43f7-a09d-701cdcc01ca0.WAV,poaching/5C26AB1E_57d8edeb21-3140-4b6d-b078-28ec1f0ce70714f8e251-4818-4f03-bd03-c631fa3f9ec9f600966f-4a1f-43f7-a09d-701cdcc01ca0.WAV,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/26_12663.wav,natural sound/26_12663.wav,train
fire,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_64.wav,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_64.wav,train
logging,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/logging/11_11170.wav,logging/11_11170.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/2_10230.wav,natural sound/2_10230.wav,train
fire,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_53.wav,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_53.wav,train
poaching,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/poaching/5C5CF304_25b8b54e15-5bf8-45a0-9b6c-2fc52b113a760992a932-a41a-4ad1-86ca-f4b0e48cfca95de5786f-799d-4dd2-807b-db37b49800d9.WAV,poaching/5C5CF304_25b8b54e15-5bf8-45a0-9b6c-2fc52b113a760992a932-a41a-4ad1-86ca-f4b0e48cfca95de5786f-799d-4dd2-807b-db37b49800d9.WAV,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/if_necessary/19_11919.wav,natural sound/if_necessary/19_11919.wav,train
fire,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/fire/5-215658-B-12.wav,fire/5-215658-B-12.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/21_12127.wav,natural sound/21_12127.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/25_12519.wav,natural sound/25_12519.wav,train
